"kais","work"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
3,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
4,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
3,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
3,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
3,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
3,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
3,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
2,"Romans"
1,"Romans"
1,"Romans"
2,"Romans"
1,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
2,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
3,"Romans"
1,"Romans"
1,"Romans"
2,"Romans"
3,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
3,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
3,"Romans"
1,"Romans"
2,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
3,"Romans"
1,"Romans"
0,"Romans"
3,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
3,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
1,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
4,"Romans"
3,"Romans"
3,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
2,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Romans"
1,"Romans"
2,"Romans"
2,"Romans"
2,"Romans"
2,"Romans"
0,"Romans"
1,"Romans"
1,"Romans"
0,"Romans"
0,"Romans"
0,"Corinthians1"
1,"Corinthians1"
3,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
3,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
3,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
3,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
3,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
3,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
4,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
3,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
2,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
3,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
2,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
1,"Corinthians1"
1,"Corinthians1"
0,"Corinthians1"
